id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date,price,house_id,id.1,distance_to_city_center
2197600451,5.0,2.0,2270.0,2400.0,2.0,0.0,0.0,3,7,2270.0,0.0,1905,,98122,47.6051,-122.319,1320.0,2400.0,2014-11-05,631000.0,2197600451,1101,0.6167621366171753
7942601155,2.0,1.0,1095.0,5120.0,1.5,0.0,0.0,3,7,1095.0,0.0,1901,0.0,98122,47.6058,-122.313,1310.0,5120.0,2014-07-22,302282.0,7942601155,5563,0.8928181647850277
1710400005,3.0,2.0,1770.0,1800.0,3.0,0.0,0.0,3,8,1770.0,0.0,1999,0.0,98122,47.6102,-122.314,1890.0,3200.0,2014-11-19,690000.0,1710400005,6972,0.889640626479151
2254501620,2.0,1.0,930.0,3200.0,1.0,0.0,0.0,3,7,930.0,0.0,1904,0.0,98122,47.609,-122.314,1690.0,3840.0,2015-04-09,500000.0,2254501620,11056,0.8674851242429273
7942600975,4.0,1.75,1940.0,4800.0,1.0,0.0,0.0,5,7,1030.0,910.0,1922,0.0,98122,47.6054,-122.314,1450.0,4800.0,2014-05-12,505000.0,7942600975,13487,0.8474757148564279
4226900211,4.0,1.0,1360.0,5814.0,1.5,0.0,0.0,2,6,1360.0,0.0,1900,0.0,98122,47.6038,-122.314,1010.0,5814.0,2014-10-23,560000.0,4226900211,14784,0.8617852369102305
1710400007,3.0,2.0,1770.0,2150.0,3.0,0.0,0.0,3,8,1770.0,0.0,1999,0.0,98122,47.6102,-122.314,2010.0,3200.0,2014-12-11,660000.0,1710400007,15092,0.889640626479151
7942600910,1.0,1.0,1310.0,8667.0,1.5,0.0,0.0,1,6,1310.0,0.0,1918,0.0,98122,47.6059,-122.313,1130.0,4800.0,2014-12-16,575000.0,7942600910,18631,0.8926301917423394
2197600388,2.0,1.5,830.0,1077.0,2.0,0.0,0.0,3,7,830.0,0.0,2006,0.0,98122,47.6058,-122.319,830.0,1366.0,2014-12-02,350000.0,2197600388,18924,0.6126818592029267
7600136,2.0,2.0,1130.0,1148.0,2.0,,0.0,3,9,800.0,330.0,2007,0.0,98122,47.6023,-122.314,1350.0,1201.0,2014-07-18,411000.0,7600136,20771,0.8875795642114674
